 Imunizações - Doses Aplicadas - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses aplicadas por Unidade da Federação e Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1998-2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2004/Jan;2004/Fev;2004/Mar;2004/Abr;2004/Mai;2004/Jun;2004/Jul;2004/Ago;2004/Set;2004/Out;2004/Nov;2004/Dez;2005/Jan;2005/Fev;2005/Mar;2005/Abr;2005/Mai;2005/Jun;2005/Jul;2005/Ago;2005/Set;2005/Out;2005/Nov;2005/Dez;2006/Jan;2006/Fev;2006/Mar;2006/Abr;2006/Mai;2006/Jun;2006/Jul;2006/Ago;2006/Set;2006/Out;2006/Nov;2006/Dez;2007/Jan;2007/Fev;2007/Mar;2007/Abr;2007/Mai;2007/Jun;2007/Jul;2007/Ago;2007/Set;2007/Out;2007/Nov;2007/Dez;2008/Jan;2008/Fev;2008/Mar;2008/Abr;2008/Mai;2008/Jun;2008/Jul;2008/Ago;2008/Set;2008/Out;2008/Nov;2008/Dez;2009/Jan;2009/Fev;2009/Mar;2009/Abr;2009/Mai;2009/Jun;2009/Jul;2009/Ago;2009/Set;2009/Out;2009/Nov;2009/Dez;2010/Jan;2010/Fev;2010/Mar;2010/Abr;2010/Mai;2010/Jun;2010/Jul;2010/Ago;2010/Set;2010/Out;2010/Nov;2010/Dez;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;Total
11 Rondônia;70469;58673;74735;173554;108442;266146;77403;418431;95413;71183;71380;58923;71353;66938;78023;150088;122789;288962;90443;282363;94169;77785;76556;63571;61978;50048;70896;137398;96968;253801;70337;254020;65250;62451;61959;53349;63599;60414;75359;150396;103496;252160;63747;231120;55740;67496;64001;28237;178932;95359;73193;163535;86012;235824;93365;785330;90069;68268;60769;63348;81462;69572;88826;185630;111815;245525;88113;92833;241433;82746;80654;68863;62624;58800;79042;169658;91309;225175;78529;227038;69962;70735;77844;74815;78515;81401;83531;88499;95261;94141;89306;107227;95390;79671;82102;71245;111766;107514;107256;96629;120444;113021;105481;140857;93583;96108;96021;81354;114826;95801;102287;131389;150535;213139;350186;209627;173516;109903;104121;100031;120988;116802;155561;128543;134973;105209;125068;121245;144626;135200;179016;207750;117313;109723;146547;123278;142615;132828;124646;199933;137828;117364;117119;95878;157755;123435;144499;153958;138067;143208;125901;132017;252294;121843;111273;102738;157133;152960;178534;159281;160071;119267;105058;121914;164662;126247;108959;88021;137945;89628;107315;111705;116877;88029;36771;21628121
12 Acre;35220;35120;38235;79230;41688;164636;34289;223585;50676;37732;51914;49712;43311;37038;46152;86691;66136;175472;48709;171829;50866;41578;45275;51722;33669;28387;31547;73388;38833;147579;39519;129566;46817;32043;32656;35938;32011;36426;39038;79433;42524;154543;40363;146359;67540;69811;58497;41853;75967;47823;42638;83750;55741;162863;46589;392150;74149;41209;42827;35839;45910;49354;52796;105043;67715;170161;56574;56432;170458;50624;51159;48183;35054;38491;49855;91068;54318;146752;38928;143586;37490;36786;42920;45089;52875;54573;63567;60827;69946;80868;60606;69039;60872;53615;58393;43455;57312;57577;60153;67748;72718;79296;62249;73564;52138;60492;54057;32656;61653;53606;60605;86401;130462;171824;76881;100794;61247;54030;56262;52126;55834;56574;64197;71343;56816;54318;48796;57467;53737;40072;62381;81388;49316;53297;72827;71043;86307;61484;45147;127297;51397;51851;47390;37514;67687;59542;60426;65555;72878;56545;50620;52850;134207;51824;54763;44339;64645;60539;78971;60872;74148;60273;54526;63508;120435;62742;62337;52441;63927;53272;58904;58580;55683;40108;3200;11774074
13 Amazonas;164163;159214;157046;352367;201952;573079;165989;810581;196313;154140;159614;165523;166529;161538;185286;334860;236966;665383;219977;645700;225133;190634;201934;184275;169975;151254;182510;323289;220685;586915;183507;576393;178787;168781;193511;177230;195740;184897;196664;345895;249133;623379;210871;588353;175987;218250;180723;168294;362598;223540;195949;382469;241685;613409;209090;1709946;223520;180388;174280;164874;191976;201785;218844;421691;297448;632897;247737;263743;613968;213522;220290;191447;166464;161654;213715;377209;228355;558016;169788;573615;187582;171534;188006;173725;196916;205619;200936;224945;273863;244462;224083;245690;222663;210238;205894;182915;262238;257342;291944;274236;333389;304439;271908;366230;273958;283214;243267;236725;278473;291155;341327;331847;332399;698682;699993;464782;456799;362610;323840;281366;294985;341325;328883;375229;403973;283044;294873;335261;351956;316625;347088;475880;290210;323037;404269;345139;402084;344143;305555;561799;318142;302669;282061;232036;311009;247838;294326;282575;318821;283867;264213;388309;678895;272126;274523;218596;399804;317392;466404;337777;412913;307456;318807;346462;591596;321023;323088;254921;383083;296041;459783;532862;423891;361622;453220;54999874
14 Roraima;22965;37301;31439;44049;42551;90807;28952;118093;46327;30921;31187;19696;32274;38630;38458;51725;44516;119197;38093;112385;33744;41007;34431;39427;35232;28908;33953;50288;43983;96871;29846;92324;29534;23765;24691;31968;31364;24804;28875;56600;37373;121290;32840;97531;33140;30840;30247;30606;60897;54141;38518;47611;41415;98733;37541;100206;152362;25861;22799;22486;29784;34119;33524;56421;49598;93387;36476;37891;88250;34582;30659;26025;28580;24336;27300;51808;34476;78697;28642;79031;33134;29123;26266;25654;28289;31316;30902;34412;35454;32734;40611;31686;30358;34426;28219;31615;36298;41505;40901;38468;9111;42875;42146;47628;41908;30378;30901;34821;44322;47049;43791;41846;71342;101109;87618;35413;47786;36453;14130;49515;45028;51961;60549;52491;47210;47423;44766;47263;68536;38190;38373;71129;35631;63860;73504;53127;52258;53140;46565;82581;51802;51286;48282;46929;51282;56047;62766;54101;55631;55846;55612;58465;85829;57875;55911;40929;70820;87220;102241;76478;70209;50508;59995;67544;60389;69491;53566;37003;51827;51332;112322;90575;69276;55105;65256;8676052
15 Pará;332251;350895;351093;902667;446219;1854094;357015;2548559;480044;336037;397739;314854;328359;334019;370954;847781;496664;1839432;394124;1783127;429223;383984;415831;356072;313921;289502;295892;727876;359722;1539877;332516;1357708;510109;305385;349145;305445;304935;298171;327794;759714;403847;1466454;349376;1392726;433193;337690;340281;305260;539062;410146;348803;772385;385744;1449405;354966;1314394;2793457;295497;365440;291755;391656;409000;420280;907234;442658;1309384;418676;414797;1413511;446209;408887;358327;283981;298224;345633;752225;328776;1128337;340574;1183000;332758;293336;314787;295445;298736;338980;352575;406099;463237;501808;423932;540867;440639;398652;393192;358393;469750;465245;502238;491465;525936;578768;512095;657195;523181;454097;482924;406171;518153;500047;523136;602375;856918;1309645;1090280;772704;760346;529657;517553;444702;582638;577627;703400;532564;482364;425308;432738;464327;545626;464144;555398;814421;475368;421302;569719;479944;464443;428878;380771;771726;368715;355741;354226;248788;495984;422854;437929;447135;439654;446320;377280;469604;952352;352139;396100;306535;604637;487210;739782;513014;545644;450717;423245;529644;860520;494783;437816;339186;557436;382215;440657;404728;337406;249153;102875;98372746
16 Amapá;34957;23880;37991;60641;32590;120336;35692;179567;45697;32040;31891;27717;29699;29150;31050;59439;36165;138919;32413;125938;43408;33898;36094;26534;27870;23126;33347;51280;38595;115449;28073;113986;27951;28308;25121;20827;30516;26509;32304;57878;31379;119574;27784;110374;31391;27151;32516;25473;74862;50568;42231;67252;39239;120126;33961;310791;37957;30558;27774;24093;39792;32267;46335;74176;49739;132044;38766;34602;149821;36699;38533;28238;30336;27786;38187;61051;39200;119081;28707;110083;40434;32233;37768;25012;36346;37710;36177;37403;50231;41423;34978;49985;42474;37735;39738;31526;47947;43846;50892;51582;62498;59560;52587;76160;43802;45894;42209;21863;55965;45398;48288;59055;72642;123303;128222;88070;67825;45546;45142;39194;57495;53765;69906;60572;53759;44379;48872;54129;61669;60104;50660;96195;59139;48501;64167;53835;61421;48763;53210;100979;58842;53106;53101;45131;74116;68012;75771;64818;65636;58943;57773;73060;121737;54851;53061;47853;55604;53439;69370;58777;59241;49437;49955;63300;131382;60310;58831;47740;67823;53219;57407;54713;49071;38576;3140;9724672
17 Tocantins;78612;71828;79748;199212;78249;243941;63696;432142;73020;87596;102087;83439;84658;74993;95332;187048;100406;253243;73432;279499;72752;78487;85322;81430;67888;58901;72295;149899;78316;233088;59971;228612;57878;63834;68649;53871;68192;58453;71379;160223;81478;239187;60222;240072;78056;98656;85834;65781;306930;122303;92080;169657;77744;221654;59464;678215;76852;61627;58004;54374;77813;66475;81868;177041;84636;223233;70483;84917;216143;72726;73172;64417;62421;58503;82470;191775;97853;205659;60501;207221;63750;62908;74261;60107;76067;70299;78804;87380;79556;88178;63379;92286;75227;72399;72057;60237;94588;79221;97549;80096;104258;96214;85928;123830;80388;91213;82450;68900;103742;89785;95266;131904;105383;189709;258227;129677;147494;124450;109973;102278;117602;99157;141460;121813;104822;91680;97232;112506;126998;100117;114541;149196;104973;83658;121422;103587;117093;100043;93503;192220;98609;96645;91392;66710;103751;88676;102538;104194;95905;99411;85556;108724;248247;100066;98709;69897;150476;125844;161120;105027;129596;98712;87901;124987;204146;123879;106216;81154;133171;90361;100946;99656;87931;72726;49062;19734120
21 Maranhão;310879;307723;323510;792038;426475;1186363;317631;1914098;428570;297938;329895;260539;305450;301518;370336;842869;479992;1393569;335277;1318356;378048;353249;388203;361688;282501;267395;278360;699394;336966;1158946;278213;1099971;296729;297381;317488;277423;304998;278220;287043;754721;353242;1177584;323059;1147303;335882;319441;332445;264429;534600;340751;304990;768378;322213;1128580;314328;4128356;570992;304484;320993;250724;356011;340315;387006;839518;377566;1152284;363775;377890;1090199;356680;369029;327182;303349;281176;349391;755256;751223;1003083;287702;1014739;294632;306594;375187;312191;342914;350826;360341;377548;415773;442618;379975;513417;419649;392038;302853;329693;482675;429070;475266;452884;496056;499786;422564;610286;448504;445844;413935;343218;476266;445958;469704;604032;584263;1082550;1232961;730240;746639;500856;468890;439896;510186;457697;632016;507907;455877;417491;455194;462796;601790;489306;615047;810413;485882;426661;606134;501552;531070;456358;454281;837277;472983;428666;417768;293319;462948;398169;438369;457442;454789;412055;374822;425801;889263;379541;398707;250759;566006;490277;636246;438554;505976;408545;432211;472017;955536;473476;437146;282043;515526;371781;444825;436318;370699;267237;69585;91029043
22 Piauí;176734;146846;187526;435677;150033;508409;132804;900875;141552;128860;168287;122727;140386;129510;162179;423743;163769;505600;130603;506701;132624;141779;150439;130382;112345;99521;120897;356464;134167;451706;111087;441448;107071;112247;138354;119888;130954;118010;143460;406568;170796;471643;136371;454412;125451;144503;138119;120382;242915;153958;132154;374631;114494;415988;110717;1237769;170501;107247;136194;111202;138923;117211;144037;394176;139729;447407;131717;154308;408962;130876;135496;106073;109500;94189;115882;338943;115615;382797;104241;392786;105686;106597;128687;110248;159985;133528;145625;145662;144035;149370;143990;189048;146319;137148;148584;119834;181922;161731;180695;169893;208873;192659;170572;203892;172401;170401;162791;147471;185097;184007;194978;205129;309519;490629;402303;283252;255313;212932;197410;155843;209041;176618;245221;195386;166576;151786;173099;169838;206700;173639;247052;208037;168930;140394;202974;173352;341708;194300;169500;241378;160800;157187;159654;113789;192987;158059;185280;225647;262667;188389;161623;181420;403162;144051;160849;109721;213912;187447;231999;173850;189818;168926;167356;204510;369107;206734;188149;132723;242744;166847;178169;185896;165298;136543;75148;36114596
23 Ceará;347581;313157;348994;977054;357609;1294695;338116;2162319;393469;307887;369046;295731;332744;301009;352422;975030;365334;1351208;329256;1590984;541894;491966;458204;363147;280099;266835;343834;961240;333790;1050054;269963;1201523;247819;255980;288254;244373;295779;316530;313328;958913;309403;1176929;296439;1168879;295160;315738;286615;237179;279979;250593;242645;927227;262971;1094560;289237;3916163;424054;229042;249164;219478;331948;300584;355351;1015765;332662;1142759;338453;347578;1155989;345233;346566;280567;267545;232663;286147;933218;262360;991398;253948;1025388;441188;335397;394033;306390;332372;321342;331526;352199;399395;465670;404435;473032;344338;353447;415548;317964;460179;387691;434774;561921;538473;545696;449630;524911;399747;422051;454385;346326;510875;437265;460255;581015;757953;1245269;1293978;727958;632942;543436;514963;439194;562075;688761;645033;624288;516462;519825;679924;634715;774294;596080;879374;677160;648008;567805;2321039;3874223;1515091;1028130;839013;940160;753428;575564;585666;490749;711497;645920;691354;671546;657619;658010;628761;661116;1245259;630978;635783;534498;722671;606078;788601;664204;747173;654260;667771;827706;1163480;735071;704657;546254;676447;430676;473800;570173;503666;431993;169028;107656827
