 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Imunobiológicos
Período:1994-2018
"Unidade da Federação";"BCG (BCG)";"BCG - Hanseníase (BCG)";"Febre Amarela (FA)";"Febre Tifóide (FT)";"Haemophilus influenzae tipo b (Hib)";"Hepatite A (HA)";"Hepatite B (HB)";"Hepatite B não soroconversão";"Influenza (INF)";"Influenza (Campanha) (INF)";"Influenza (Gestantes) (INF)";"Meningococo A/C (MnAC)";"Meningococo B/C (MnBC)";"Raiva Humana";"Raiva - Cultivo Celular/Diplóide (RC)";"Raiva - Cultivo Celular/Vero (RV)";"Raiva - Cultivo Celular/Embrionário (RG)";"Rubéola";"Sarampo";"Varicela";"Dupla Adulto (dT)";"Dupla Infantil (DT)";"Dupla Viral (rotina) (SR)";"Dupla Viral (mulheres idade fértil) (SR)";"Dupla Viral (mulheres idade fértil campanha) (SR)";"Dupla Viral (homens) (SR)";"Dupla Viral (homens campanha) (SR)";"Hexavalente (HX)";"Poliomielite inativada (VIP)";"Meningocócica Conjugada - C (MncC)";"Oral Poliomielite (VOP)";"Oral Poliomielite 1ª etapa campanha  (VOP)";"Oral Poliomielite 2ª etapa campanha  (VOP)";"Oral de Rotavírus Humano (VORH)";"Pentavalente (DTP+HB+Hib) (PENTA)";"Pneumocócica 10valente";"Pneumocócica Conjugada 7 Valente (Pnc7)";"Pneumocócica Polissacarídica 23 Valente (Pn23)";"Pneumocócica 13 valente";"Tetravalente (DTP/Hib) (TETRA)";"Toxóide Tetânico";"Tríplice Acelular (DTPa)";"Tríplice Bacteriana (DTP)";"Tríplice Viral (SCR)";"Tríplice Viral (campanha) (SCR)";"Tríplice Viral (homens campanha) (SCR)";"Tríplice Viral (homens) (SCR)";"Tríplice Viral (implantação) (SRC)";"Tríplice Viral (mulheres idade fértil camp) (SCR)";"Tríplice Viral (mulheres idade fértil) (SCR)";"Tríplice Viral (seguimento) (SRC)";"Imunoglobulina humana anti-Hepatite B (IGHAHB)";"Imunoglobulina humana anti-Rábica (IGHR)";"Imunoglobulina humana anti-Tetânica (IGHAT)";"Imunoglobulina humana anti-Varicela Zóster (IGHVZ)";"Soro anti-Aracnídico (AC)";"Soro anti-Botrópico (BO)";"Soro anti-Botrópico-Crotálico (BC)";"Soro anti-Botrópico-Laquético (BL)";"Soro anti-Botulínico (BTU)";"Soro anti-Crotálico (CR)";"Soro anti-Diftérico (SAD)";"Soro anti-Elapídico (LP)";"Soro anti-Escorpiônico (ES)";"Soro anti-Laquético";"Soro anti-Latrodectus (LT)";"Soro anti-Lonomia (LN)";"Soro anti-Loxocélico (LX)";"Soro anti-Rábico (RB)";"Soro anti-Tetânico (SAT)";"Esq.Seq. VIP/VOP";"Penta inativada (DTPa/Hib/Vip)";"Tetraviral (sarampo, rubéola, caxumbae varicela)";"HPV Quadrivalente - Feminino";"HPV Quadrivalente - Masculino";"HEPATITE A, B RECOMBINANTE";"Rotavírus pentavalente";"Quadrupla viral";"HPV";"dTpa";"Total"
"11 Rondônia";922429;32443;3598054;104;278809;111266;3879548;20298;254706;977142;21949;432;4;288049;567;258806;695;13701;633573;25341;3490117;652;59947;40684;271811;7730;255827;720;192656;664534;2640585;2474237;2459767;623575;503945;797821;1601;23692;1539;902527;782746;40027;2071589;1044077;128326;1704;50681;375198;1798;98457;-;2700;1820;825;420;1258;22872;1940;6272;122;915;327;394;2116;22;3;128;21;21826;10389;402549;548;110699;235324;35873;52;870;11;7612;48970;32243364
"12 Acre";547271;5840;1598680;563;100209;53584;3133449;3433;182829;459716;9874;331;52;31804;501;51080;414;7331;395781;28370;1716422;512;17191;45832;122435;9308;105250;10;141671;320413;1806750;1286558;1291185;308926;256232;366759;3566;29849;30;525241;441930;10887;1059587;597719;54164;1848;11589;176226;1899;42286;3483;4253;153;212;359;130;5048;740;3058;9;154;21;16;498;83;-;-;-;2546;4281;115173;329;45575;134525;19790;28;31;-;6176;22938;17732996
"13 Amazonas";2576117;10025;7807823;401;608340;304678;7813313;9160;1125171;1982862;58575;4450;813674;68204;933;231930;479;13278;1372135;206147;8167926;10002;159729;184313;585962;64379;491529;2903;606095;1728504;6985968;5468868;5049391;1464867;1379017;1930578;8254;161969;5733;2273634;1053026;100876;4867695;3174654;226363;16668;352282;922995;16921;655593;4513;4707;329;2730;1038;1409;42092;693;31301;38;266;69;283;2921;22;7;30;-;6843;1049;858942;1633;279300;509039;133794;310;2603;-;143796;133867;75288013
"14 Roraima";354433;3338;1314933;107;89080;41737;1648329;3095;329549;246614;8124;271;-;24301;13;73588;356;4286;217551;67116;1170017;86;28815;83778;56155;3725;52604;373;65344;239012;918374;853639;778613;210721;186259;280362;1243;80749;211;300466;252236;12075;646148;553357;35605;11134;93280;97144;11277;221446;-;373;190;41;396;359;8266;3018;4241;73;2834;65;376;455;1;47;33;18;1121;918;153203;389;42892;100680;17058;96;156;-;2616;18261;12029245
"15 Pará";5448737;74807;14087446;598;1529939;428238;15949336;17561;790163;5089465;100918;7594;1887;384677;172;839366;849;43;3464050;66555;16823754;2854;183372;1764425;1203654;89470;1158461;5154;1127676;2652943;15970982;12724171;12705068;2598768;2054096;3021662;16001;76672;9947;4800958;2421703;88747;9981195;5627030;599704;18465;199898;1848704;15977;325923;-;3449;4643;544;2029;5898;173643;6307;30575;974;3072;435;617;26003;46;121;71;10;58065;6109;1012903;556;353405;1072368;157030;238;242;-;24608;195518;151539314
"16 Amapá";465995;3251;1153065;-;153039;54553;1624496;974;66494;330548;10699;38;-;29383;348;53337;318;5581;232220;18001;1209475;25;14825;69993;108126;1511;99386;23;95949;312177;1272069;1071322;932830;303270;250320;364316;1031;8468;-;484828;185448;14739;874703;497240;56465;48;14116;147291;42;43914;-;455;994;380;450;815;23561;2896;7270;219;491;318;43;5773;26;15;109;31;5911;1535;185451;34;57492;132617;18921;98;72;-;1528;24118;13107913
"17 Tocantins";954107;14519;3093754;170;236913;91100;3451500;6742;258759;1031485;23500;135;4;106882;680;135751;272;7391;462512;40265;3341651;511;38419;307299;216671;6564;208573;14;234688;585869;2340952;2065556;1962704;555163;439737;714406;2891;19305;9;812019;695303;24787;1576626;1090293;113896;618;157872;335714;510;331343;-;495;565;180;208;427;20885;2576;1062;93;4501;107;224;3063;17;4;31;2;6027;2949;184142;33;87640;224777;48925;46;4;-;4552;45883;28735822
"21 Maranhão";5030519;123246;12964721;598;1022819;371664;14521337;42071;446065;5682598;87779;43695;281;386876;4478;691962;1793;2670;2713960;198077;12862000;10874;92128;414425;918946;81452;853422;2872;838472;2473047;14451850;10308790;10493819;2482850;1954860;2793433;7902;44372;9673;4254623;2895260;141462;9554519;5996009;542615;647936;202869;2310;682066;553461;978;5199;3538;1476;947;952;34755;5256;2336;1014;14597;128;619;4179;16;33;25;45;23510;25639;1294398;1904;248025;1076586;176003;1681;3542;23;17668;173558;134024156
"22 Piauí";1739037;23040;3302974;480;552533;158576;5228591;11863;578922;2966504;40072;2310;230;215012;20;310344;629;14462;720513;88243;4853160;4401;150310;860452;499322;24457;440739;495;367010;1058307;4769953;5068682;5567480;1054202;741305;1241496;2684;21590;53;1644157;1000855;42135;3517774;1983113;237559;3031;48400;276;3146;168478;236819;5501;3245;1580;991;603;4946;2814;145;40;3543;70;439;6274;-;3;3;9;9014;5098;370460;202;82414;411108;72139;45;120;-;13940;73739;52634681
"23 Ceará";5032275;63332;1232584;424;1432347;529202;15537428;86972;599772;8142942;107514;8961;9645;425762;12340;1043557;3315;4528;2871632;364946;12549290;37748;1920954;926567;1396388;165030;1188622;16505;1055170;3387848;14775822;12200312;12490548;3051500;2383652;3767919;1772;29611;43684;4427860;3148676;187738;10076245;6607397;665603;26407;258668;-;30613;1010822;647103;783;7502;3890;215;415;11004;3716;1138;18;1781;717;413;1937;7;-;-;119;43696;4896;1745794;12726;327965;1408541;249750;546;24906;13;30743;249214;140117997
