 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Unidade da Federação
Período:1994-2018
"Imunobiológicos";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"BCG (BCG)";922429;547271;2576117;354433;5448737;465995;954107;5030519;1739037;5032275;1433620;1810075;6346297;2175894;1060871;7022243;9099818;1494916;8745070;15845246;4107745;2342275;5331276;1257729;2188754;3070045;1194960;97597754
"BCG - Hanseníase (BCG)";32443;5840;10025;3338;74807;3251;14519;123246;23040;63332;10345;17817;59672;9203;7876;43980;49243;22556;48828;60770;23586;8789;14878;6783;48416;71734;7996;866313
"Febre Amarela (FA)";3598054;1598680;7807823;1314933;14087446;1153065;3093754;12964721;3302974;1232584;313591;148742;788270;208960;452666;17000551;37462080;4469614;10173656;24236545;13556446;2596071;7529904;4359181;6499749;13000676;5534135;198484871
"Febre Tifóide (FT)";104;563;401;107;598;-;170;598;480;424;438;33;206;947;90;1032;5035;1095;7253;92050;1460;1337;3161;1821;697;1249;5432;126781
"Haemophilus influenzae tipo b (Hib)";278809;100209;608340;89080;1529939;153039;236913;1022819;552533;1432347;408635;521782;1338820;573115;373489;2185062;2748622;448517;2454297;6757349;1573360;787236;1195430;412973;433728;869106;670149;29755698
"Hepatite A (HA)";111266;53584;304678;41737;428238;54553;91100;371664;158576;529202;152910;194672;519920;199585;122446;697659;1148865;253170;971006;3270145;709233;457194;597219;203378;213252;431183;247180;12533615
"Hepatite B (HB)";3879548;3133449;7813313;1648329;15949336;1624496;3451500;14521337;5228591;15537428;5465555;6462235;16851297;6365284;4277960;25814558;32136670;7414627;25283121;74410930;20343274;11563444;15931315;5096187;6706255;10034084;5731966;352676089
"Hepatite B não soroconversão";20298;3433;9160;3095;17561;974;6742;42071;11863;86972;27483;13110;71619;14676;4873;86549;43118;32042;77033;160223;33265;52682;29864;15996;23397;29590;18534;936223
"Influenza (INF)";254706;182829;1125171;329549;790163;66494;258759;446065;578922;599772;197671;221255;796941;174565;122110;1721624;4481434;690169;1705216;12290844;2951858;2927366;3800950;922014;535163;730756;523170;39425536
"Influenza (Campanha) (INF)";977142;459716;1982862;246614;5089465;330548;1031485;5682598;2966504;8142942;3006260;4045534;8702633;2516320;1710026;12737150;20533237;3277407;17649471;39502774;10086938;5713394;12885452;1984756;2050146;5056350;1740163;180107887
"Influenza (Gestantes) (INF)";21949;9874;58575;8124;100918;10699;23500;87779;40072;107514;40437;34499;106709;41389;33965;181168;219100;41155;119094;637356;124798;102307;85108;33938;40946;59589;40347;2410909
"Influenza A - H1N1";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Influenza A - H1N1 (gestantes)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Meningococo A/C (MnAC)";432;331;4450;271;7594;38;135;43695;2310;8961;1312;453;5682;1788;158;17381;67742;1400;116939;396884;6813;2301;4512;3266;10337;13154;1347;719686
"Meningococo B/C (MnBC)";4;52;813674;-;1887;-;4;281;230;9645;60;485;7574;3178;-;45183;4619;229;9466;10846;8590;276;1603;99;1;3083;572;921641
"Raiva Humana";288049;31804;68204;24301;384677;29383;106882;386876;215012;425762;97946;282482;1100220;272910;88166;518767;926117;181287;1178762;732690;417054;114610;196785;90313;238279;767218;314344;9478900
"Raiva - Cultivo Celular/Diplóide (RC)";567;501;933;13;172;348;680;4478;20;12340;231;88;11053;1042;124;7161;2381;1818;954;321385;650;489;4664;916;1344;9004;2498;385854
"Raiva - Cultivo Celular/Vero (RV)";258806;51080;231930;73588;839366;53337;135751;691962;310344;1043557;185311;226601;1540185;331754;127918;1285901;1684194;257986;1686614;2572381;937684;179989;483986;211594;305041;709615;339975;16756450
"Raiva - Cultivo Celular/Embrionário (RG)";695;414;479;356;849;318;272;1793;629;3315;1990;656;6003;2201;512;6365;7449;626;4584;11460;2912;419;1715;670;920;2342;681;60625
"Rubéola";13701;7331;13278;4286;43;5581;7391;2670;14462;4528;574254;6011;45802;5531;-;4863;28294;18;717;4513;1044307;12127;1762;-;8738;7046;9145;1826399
"Sarampo";633573;395781;1372135;217551;3464050;232220;462512;2713960;720513;2871632;844432;924434;4817684;870223;580206;3637032;3582042;1531541;2377365;5664636;1685445;1425910;1787423;392515;1031080;1606251;118308;45960454
